id,notaventa,monto,tipo
648,22192,3000,Efectivo
649,22193,0,Cheque
650,22200,147000,Efectivo
651,22201,122000,Efectivo
652,22202,228300,"Mercado Libre"
653,22203,51800,Efectivo
654,22204,28560,"Mercado Libre"
655,22205,3833,"Mercado Libre"
656,22206,22300,Efectivo
657,22207,450,Efectivo
658,22208,28663,"Mercado Libre"
659,22209,29900,"Mercado Libre"
660,22210,11094,"Mercado Libre"
661,22211,28663,"Mercado Libre"
662,22212,28560,"Mercado Libre"
663,22213,195000,Efectivo
664,22213,3000,Efectivo
665,22214,28663,"Mercado Libre"
666,22215,28560,"Mercado Libre"
667,22216,25350,"Mercado Libre"
668,22217,28560,"Mercado Libre"
669,22218,23151,"Mercado Libre"
670,22219,28663,"Mercado Libre"
671,22220,382.14,Tarjeta
672,22221,23151,"Mercado Libre"
673,22222,37263,"Mercado Libre"
674,22223,72000,"Mercado Libre"
675,22224,219000,"Contra Entrega"
676,22225,218800,Tarjeta
677,22226,309570,"Contra Entrega"
678,22227,7667,"Mercado Libre"
679,22228,103400,Tarjeta
680,22228,103400,Tarjeta
681,22229,149285,"Contra Entrega"
682,22230,213900,Efectivo
683,22231,254.3,"Contra Entrega"
684,22232,37263,"Mercado Libre"
685,22233,37263,"Mercado Libre"
686,22234,7667,"Mercado Libre"
687,22235,312.9,"Contra Entrega"
688,22237,212900,"Mercado Libre"
689,22237,8000,"Contra Entrega"
690,22238,4000,"Contra Entrega"
691,22238,170000,"Contra Entrega"
692,22239,0,Tarjeta
693,22240,46302,"Mercado Libre"
694,22243,0,Cheque
695,22244,0,Efectivo
696,22245,10100,Mercadopago
697,22246,25350,"Mercado Libre"
698,22247,0,Efectivo
699,22248,3.833,"Mercado Libre"
700,22249,25350,"Mercado Libre"
701,22250,3833,"Mercado Libre"
702,22251,37263,"Mercado Libre"
703,22252,37263,"Mercado Libre"
704,22253,200000,Efectivo
705,22254,72000,"Mercado Libre"
706,22255,37560,Efectivo
707,22256,0,Efectivo
708,22257,194700,ECheck
709,22257,3650,Efectivo
710,22258,164900,Efectivo
711,22258,3000,Efectivo
712,22259,25350,"Mercado Libre"
713,22260,678500,Cheque
714,22261,436,"Contra Entrega"
715,22262,64300,Mercadopago
716,22263,9137,"Mercado Libre"
717,22264,60000,Efectivo
718,22265,0,Efectivo
719,22266,281000,"Contra Entrega"
720,22266,562000,Cheque
721,22267,6500,Efectivo
722,22268,7000,Efectivo
723,22269,48000,"Mercado Libre"
724,22271,76250,"Mercado Libre"
725,22272,100000,Efectivo
726,22272,2000,"Contra Entrega"
727,22272,114000,Cheque
728,22273,0,Efectivo
729,22273,0,Efectivo
730,22274,0,Efectivo
731,22275,42211,"Mercado Libre"
732,22276,872000,Cheque
733,22277,0,Efectivo
734,22278,28141,"Transferencia Bancaria"
735,22279,18162,"Mercado Libre"
736,22280,3834,"Mercado Libre"
737,22281,150000,Efectivo
738,22282,23151,"Mercado Libre"
739,22283,3833,"Mercado Libre"
740,22284,32060,"Mercado Libre"
741,22285,3833,"Mercado Libre"
742,22286,18162,"Mercado Libre"
743,22287,0,Efectivo
744,22288,200000,"Contra Entrega"
745,22289,200945,"Mercado Libre"
746,22290,196.6,"Contra Entrega"
747,22291,220,"Contra Entrega"
748,22292,313666,Efectivo
749,22292,627334,Cheque
750,22293,23350,"Mercado Libre"
751,22294,77500,Tarjeta
752,22295,0,Efectivo
753,22305,40,Financiado
754,22306,4308,"Mercado Libre"
755,22307,498000,Efectivo
756,22308,170900,Efectivo
757,22309,217000,Cheque
758,22310,193000,"Contra Entrega"
759,22310,4000,"Contra Entrega"
760,22311,300000,"Transferencia Bancaria"
761,22312,18162,"Mercado Libre"
762,22313,28000,Efectivo
763,22314,61200,"Mercado Libre"
764,22314,8000,"Contra Entrega"
765,22315,61200,"Mercado Libre"
766,22315,8000,"Contra Entrega"
767,22316,25000,"Transferencia Bancaria"
768,22317,20,"Transferencia Bancaria"
769,22318,172000,Cheque
770,22319,3833,"Mercado Libre"
771,22320,3833,"Mercado Libre"
772,22321,564136,"Transferencia Bancaria"
773,22321,4263,Efectivo
774,22322,41580,"Mercado Libre"
775,22323,41580,"Mercado Libre"
776,22324,24408,"Mercado Libre"
777,22325,23151,"Mercado Libre"
778,22326,0,Efectivo
779,22327,0,Efectivo
780,22328,5500,Efectivo
781,22329,59870,Efectivo
782,22330,172000,Cheque
783,22331,496500,ECheck
784,22332,17500,"Mercado Libre"
785,22333,3833,"Mercado Libre"
786,22334,119000,Efectivo
787,22335,221000,Efectivo
788,22336,0,Efectivo
789,22337,0,Efectivo
790,22338,199.6,"Transferencia Bancaria"
791,22339,0,Efectivo
792,22340,820000,"Transferencia Bancaria"
793,22340,820000,"Transferencia Bancaria"
794,22341,100000,Efectivo
795,22342,0,Efectivo
796,22343,0,Efectivo
797,22344,96000,Cheque
798,22345,121350,"Mercado Libre"
799,22346,9900,Efectivo
800,22347,356,"Contra Entrega"
801,22348,47817,"Mercado Libre"
802,22349,54720,Tarjeta
803,22350,1180000,Efectivo
804,22352,180000,"Mercado Libre"
805,22353,7340,Efectivo
806,22354,9843,"Mercado Libre"
807,22355,0,Efectivo
808,22356,7300,Efectivo
809,22357,3833,"Mercado Libre"
810,22358,219,"Contra Entrega"
811,22359,151.5,"Transferencia Bancaria"
812,22360,170000,Cheque
813,22361,1600,Efectivo
814,22362,0,Efectivo
815,22363,0,Efectivo
816,22364,11094,"Mercado Libre"
817,22365,0,Efectivo
818,22366,3833,"Mercado Libre"
819,22367,32000,Efectivo
820,22368,400,Efectivo
821,22369,120000,Efectivo
822,22370,382900,Efectivo
823,22371,88000,Efectivo
824,22372,5000,Efectivo
825,22372,143000,"Contra Entrega"
831,22378,700,Dolares
869,22416,24576,"Mercado Libre"
870,22417,23350,"Mercado Libre"
871,22418,15338,"Mercado Libre"
872,22419,30281,"Mercado Libre"
873,22420,101000,Efectivo
874,22421,47817,"Mercado Libre"
875,22422,221,"Contra Entrega"
876,22423,34000,"Mercado Libre"
877,22424,34000,"Mercado Libre"
878,22425,48000,"Mercado Libre"
879,22426,70000,Tarjeta
880,22426,111045,Tarjeta
881,22427,193151,"Mercado Libre"
882,22427,7000,"Contra Entrega"
883,22428,180000,"Mercado Libre"
884,22429,511000,Efectivo
885,22430,12240,"Mercado Libre"
886,22431,175921,"Mercado Libre"
887,22432,137300,Mercadopago
888,22433,515500,Efectivo
889,22434,0,Efectivo
890,22436,37000,Efectivo
891,22437,13298,"Mercado Libre"
892,22438,9695,"Mercado Libre"
893,22439,3200,Efectivo
894,22440,56420,Efectivo
895,22441,121350,"Mercado Libre"
896,22442,5077,"Mercado Libre"
897,22443,214000,Efectivo
898,22444,312000,Efectivo
899,22445,0,Efectivo
900,22446,310000,"Mercado Libre"
901,22447,382676,Efectivo
902,22448,0,Cheque
903,22449,698.8,"Contra Entrega"
904,22450,16500,"Mercado Libre"
905,22451,17500,"Mercado Libre"
906,22456,5800,Efectivo
907,22457,9999,Tarjeta
908,22458,0,Efectivo
909,22459,164900,"Contra Entrega"
910,22459,3500,"Contra Entrega"
911,22460,47817,"Mercado Libre"
912,22461,396000,Efectivo
913,22462,214000,Efectivo
914,22463,504.6,Efectivo
915,22464,991000,Cheque
916,22465,201668,Mercadopago
917,22465,9000,"Contra Entrega"
918,22466,214000,"Contra Entrega"
919,22467,1685000,ECheck
920,22468,170000,Efectivo
921,22468,200000,Mercadopago
922,22469,394.375,"Transferencia Bancaria"
923,22470,2360000,"Contra Entrega"
924,22470,7000,"Contra Entrega"
925,22471,4800,Efectivo
926,22472,1646490,ECheck
927,22473,0,Efectivo
928,22474,0,Efectivo
929,22475,0,Cheque
930,22476,310569,"Contra Entrega"
931,22477,46200,"Mercado Libre"
932,22478,23151,"Mercado Libre"
933,22479,1735000,"Transferencia Bancaria"
934,22479,70000,"Contra Entrega"
935,22480,118970,"Mercado Libre"
